start	end	text
0	12960	всем привет начинаем лекцию сегодня можно нашу самую первую лекцию немножко как бы почему эта
12960	19200	лекция такая в общем то это было обсуждение со студентами то есть прошлый раз мы проходили по
19200	26080	программе проходили там сначала криптографию пиринговой сети там не знаю консенсус и так
26080	32280	далее и так далее и только потом соответственно уже на всем на всей этой базе как бы врывались
32280	39040	там смарт-контракты вот но и оказывалось так что в конце семестра ну то есть самый такой как бы
39040	45840	важный код как бы студенты щупали в конце семестра только уже уже когда уже там сессии на носу вот и
45840	52420	поэтому было решено сначала сделать пару лекций вы такие как бы входные мы прям верхний уровень
52420	56020	его пробежимся как бы что это такое уже посмотрим
56080	61840	на код смарт-контрактов как бы научимся их там запускать а потом уже в течение всего курса
61840	72600	будем все глубже и глубже погружаться вот то есть там не знаю верхний уровень обсудим верхний уровень
72600	78460	обсудим там например там не знаю криптографию потом на лекции и более глубоко рассмотрим вот
78460	84400	ну и то же самое касается там не знаю консенсусов различных там в общем
86080	92980	ну что всего поехали еще это за я немножко рассказал на входной лекции как выглядит
92980	100480	разработка здесь а теперь собственно что собой представляют именно публичные блокчейна вот на
100480	108480	каких собственно основных примитивах они строятся значит такое самое простое объяснение это такое
108480	113500	если вы хотите как бы человеку кому-то объяснить как бы может сказать типа ты торрентами пользуешься
116080	121660	может поrie там понимать какой будет бог чей у нас есть какой-то там пользователь не знаю там вася
121660	129580	который отправляет транзакцию гуда там в неизвестно кому как бы то есть отправляет первым попавшимися
129580	136400	компьютеру который следует протоколу чейна который будет делать как бы то что и этот
136400	141520	компьютер рассказывает с остальным компьютером про транзакцию пользователя а потом не знаю
141520	145360	там может там это деньги в этой транзакции лежат может быть и нет
146080	151320	И вдобавок еще получает информацию о соседях других компьютеров,
151440	154340	то есть они меняются постоянно, информация о конфигурации сети,
155060	160620	кто-то включается, кто-то выключается, часть этой сети можно отрубить,
160700	163800	но она продолжит все равно распространять информацию,
163900	168600	потому что по дефолту, то есть все вот эти, мы их будем называть блокчейн-ноды,
169500	173260	они по дефолту обмениваются друг с другом всей информацией,
173260	177300	которая соответствует формату, то есть пришла, не знаю, транзакция,
178100	179560	она это распространяет.
179700	183860	Здесь ничего сложного особо нет, здесь обычный JSON, RPC,
184200	187880	если кто занимался веб-программированием, интерфейс,
188340	192580	просто в JSON делает какой-то метод send transaction,
192820	195900	отправляется как бы там в пейтабайтики,
196520	199240	и дальше нода начинает про эту транзакцию рассказывать всем остальным
199240	201560	и получать из сети блоки.
202400	203040	Вот.
203260	209700	Значит, в чем фишка вот этого, ну вот всех вот этих вот блокчейн-технологий
209700	213040	от существующих решений?
213620	215360	То есть здесь никакого лучшего места здесь нету,
215420	219080	это блокчейн, это просто по сути как бы такой отдельный вид софта,
219520	224420	немножко как бы, который обладает одним очень-очень важным свойством.
224560	228200	Смотрите, если у нас есть какое-нибудь там банковское приложение,
228200	232000	там какое-нибудь, не знаю, ну, проще всего вообще показывать на финансах,
232120	233200	и это, кстати, один из примеров.
233260	237160	Почему как бы крипта – это именно типа крипта, именно деньги?
237800	240900	Да просто потому, что как бы деньги – это всего лишь на всю информацию.
241320	241520	Вот.
241640	242260	Вам не...
244860	250480	О, господи, я не транслирую экран.
250800	251700	Все, понял.
252420	255120	Так, надо было меня оттянуть.
255500	256700	Так, давайте вот так вот.
257040	258700	Все, вот теперь я транслирую экран.
260700	261280	Так, да.
261280	263220	Я, собственно, да, рисую здесь.
263260	264260	Такую штуку.
264900	267220	У нас Вася, да, отправляет транзакцию в какую-то сеть,
267300	270760	и вот здесь вот как бы ноды меняются друг с другом информацией.
272380	276560	Значит, если мы работаем с каким-нибудь банк-клиентом,
276680	278600	не знаю, там, со Сбером, как бы Тиньковым,
278640	281220	мы говорим, там, отправь там 100 долларов,
281640	283040	там, к тому-то, к тому-то, как бы,
283460	286380	и в банке есть табличка,
286380	288800	где написано, что у Васи было там 200 долларов,
288960	290820	как бы, и стало у него как бы 100 долларов,
290960	293000	а у Пети как бы стало плюс 100 долларов,
293000	293780	как на балансе.
293840	295440	То есть, по сути,
296380	299180	финансовые приложения, они оперируют только информацией,
299240	300940	поэтому они такие довольно простые.
301520	303460	Ну, то есть, с точки зрения надежности,
303540	305820	как бы, там, и требования к ним.
306740	307080	Вот.
308120	312820	И, предположим, этот банк расположен на нескольких континентах,
312820	317300	и, как бы, вот это вот расстояние между компьютерами,
317440	319700	между этими базами, оно достаточно существенное.
