start	end	text
0	5000	Так, отлично. Значит, сегодня у нас, в общем-то, как раз вторая лекция.
5240	11820	Мы опять, как и в первой лекции, мы попробуем довольно-таки быстро обозреть,
11960	15920	как душами смарт-контракты эфирные, как они работают для того,
16020	19580	чтобы вы дальше могли выбирать себе курсовые проекты,
19680	22560	может быть, там, потыкать где-то в код, как бы посмотреть.
23880	27400	Первая домашка, соответственно, тоже к курсу, как бы это, по сути,
27400	31540	внести дифы в Solidity код, вот, особо не пугайтесь,
31640	35260	он достаточно легко, как бы, читается, и модифицировать его тоже, как бы, несложно.
36520	39460	Вот, сложности, как бы, смарт-контрактов, они, на самом деле, в понимании
39460	43360	таких низкоуровневых механизмов, вот, как бы, в самом, там, грубо говоря,
43440	48240	написании кода, там, большого количества каких-то таких страшных тонкостей нет.
49500	50640	Вот, значит, поехали.
52280	57240	Возвращаясь к процессингу транзакций, то есть на этот раз мы уже их посмотрели,
57400	61840	затем со стороны клиента, то есть как это выглядит вообще общение со смарт-контрактами
61840	64940	для клиентов, то есть для ваших, там, пользователей, вот.
65880	72440	Ну, например, предположим, я зашел на какой-то сайт, который посвящен финансам,
72740	77600	я сейчас нахожусь в тестовой сети, сейчас уже не помню в какой, в Герле.
78460	81080	Вы ее, кстати говоря, будете довольно часто использовать, возможно,
81080	87080	имеет смысл, как бы, туда, как бы, деплоить свои, не знаю, там, проекты,
87400	91280	то есть вы можете там разворачивать свои контракты, пользоваться этой сетью спокойно.
92100	96740	В Герле сейчас наиболее из всех вот этих вот тестовых сетей, как видите, там много.
97840	101020	Ринки бай уже, как бы, скоро будет деприкейтед.
102540	106640	Герле сейчас наиболее такая свежая, как бы, которая поддерживает последнюю версию эфира,
106640	112020	как бы, так что, значит, в ней, собственно, и, скорее всего, придется работать.
112820	113500	Очень удобно.
113900	116640	А там есть копия сайта, ну, кстати, да, в отличие, как бы, от источника,
117400	123800	остальных от Web2 сервисов, в Web3 можно взять и скопировать свой сервис
123800	126280	и запустить его в тестовые сети с игрушечным эфиром.
126780	131000	Представьте, если бы у вас был там Тинькофф или Сбер, как бы, с игрушечными рублями,
131000	137000	как бы, но стопроцентно повторяющий полностью, абсолютно всю бизнес-логику основного приложения.
138580	138980	Ну, вот.
139940	142900	Там, на самом деле, такие же, такие и есть, как бы, штуки,
